question,query
Which instruments does <A> play?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_instrument var_uri  brack_close
How many airlines are members of the <A>?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri a dbo_Airline ; dbo_alliance <A>  brack_close
Give me all <A> called Baldwin.,"SELECT DISTINCT var_uri WHERE brack_open  var_uri foaf:surname ""Baldwin""@en brack_open  var_uri dbo_occupation <A>  brack_close UNION brack_open  var_uri a dbo_Actor  brack_close  brack_close"
Who wrote <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_author var_uri  brack_close
For which label did <A> record his first album?,SELECT DISTINCT var_uri WHERE brack_open  var_x rdf_type dbo_Album ; dbo_artist <A> ; dbo_releaseDate var_y ; dbo_recordLabel var_uri  brack_close ORDER BY ASC(var_y) OFFSET 0 LIMIT 1
Is <A> starring in <A>?,ASK WHERE brack_open  <A> dbo_starring <A>  brack_close
Where is the residence of the prime minister of Spain?,SELECT DISTINCT var_uri WHERE brack_open  dbr_Prime_Minister_of_Spain dbp_residence var_uri  brack_close
Which actor was casted in the most movies?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Actor sep_dot var_f rdf_type dbo_Film sep_dot var_f dbp_starring var_uri sep_dot  brack_close ORDER BY DESC(COUNT(DISTINCT(var_f))) OFFSET 0 LIMIT 1
Which countries have more than two official languages?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Country ; dbo_officialLanguage var_language  brack_close GROUP BY var_uri HAVING ( COUNT(var_language)  2 )
Which countries have more than ten caves?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Country sep_dot var_cave a dbo_Cave brack_open  var_cave dbo_location var_uri  brack_close UNION brack_open  var_cave dbo_location var_loc sep_dot var_loc dbo_country var_uri  brack_close  brack_close GROUP BY var_uri HAVING ( COUNT(var_cave)  10 )
Show me all songs from <A> released between 1980 and 1990.,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_MusicalWork sep_dot var_uri dbo_artist <A> sep_dot var_uri dbo_releaseDate var_date sep_dot FILTER (var_date >= '1980-01-01'^^xsd:date && var_date = '1990-12-31'^^xsd:date)  brack_close
Which television shows were created by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_TelevisionShow ; dbo_creator <A>  brack_close
When did <A> join the EU?,SELECT DISTINCT var_date WHERE brack_open  <A> dbp_establishedDate var_date  brack_close
Which soccer players were born on <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_SoccerPlayer ; dbo_birthPlace <A>  brack_close
How many <A> graduated from <A>?,SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri dbo_profession <A> ; dbo_almaMater <A>  brack_close
Give me the birthdays of all actors of the television show Charmed.,SELECT DISTINCT var_date WHERE brack_open  dbr_Charmed dbo_starring var_actor sep_dot var_actor dbo_birthDate var_date  brack_close
Which <A> organizations are located in <A>?,"SELECT (COUNT(DISTINCT var_uri) AS var_c) WHERE brack_open  var_uri a dbo_Organisation brack_open  var_uri dbo_industry <A>  brack_close UNION brack_open  var_uri dbp_industry var_industry FILTER regex(var_industry, ""Telecommunications"")  brack_close brack_open  var_uri dbo_location <A>  brack_close UNION brack_open  var_uri dbp_locationCountry ""Belgium""@en  brack_close  brack_close"
Give me a list of all lakes in <A>.,SELECT DISTINCT var_uri WHERE brack_open  brack_open  var_uri a dbo_Lake ; dbo_country <A>  brack_close UNION brack_open  var_uri a http://dbpedia.org/class/yago/LakesOfDenmark  brack_close  brack_close
How many children does <A> have?,SELECT DISTINCT var_n WHERE brack_open  <A> dbp_children var_n  brack_close
Show me all <A> buildings in <A>.,SELECT var_uri WHERE brack_open  var_uri a dbo_Building ; dbo_architecturalStyle <A> ; dbo_location <A>  brack_close
Who is the manager of <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_manager var_uri  brack_close
In which countries can you pay using the <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_currency <A>  brack_close
Which holidays are celebrated around the world?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Holiday  brack_close
What is the longest river?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_River brack_open  var_uri dbo_length var_l  brack_close UNION brack_open  var_uri dbp_length var_l  brack_close  brack_close ORDER BY DESC(var_l) OFFSET 0 LIMIT 1
Which organizations were founded in 1930?,"SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Organisation brack_open  var_uri dbo_formationYear var_date  brack_close UNION brack_open  var_uri dbo_foundingYear var_date  brack_close FILTER regex(var_date, ""^1930"")  brack_close"
What is the birth name of <A>?,SELECT DISTINCT var_string WHERE brack_open  <A> dbp_birthName var_string  brack_close
Who has <A> been married to?,SELECT DISTINCT var_uri WHERE brack_open  var_uri dbo_spouse <A>  brack_close
Which weapons did <A> & Koch develop?,SELECT DISTINCT var_uri WHERE brack_open  var_uri a dbo_Weapon ; dbp_designer <A>>_&_Koch  brack_close
What is the smallest city by area in Germany?,SELECT var_city WHERE brack_open  var_m skos:broader dbc:Cities_in_Germany sep_dot var_city dct:subject var_m ; dbo_areaTotal var_area  brack_close ORDER BY var_area LIMIT 1
What is the ruling party in <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbp_leaderParty var_uri  brack_close
In which <A> state is <A> located?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_location var_uri sep_dot var_uri dbo_country <A>  brack_close
What are the official languages of the <A>?,SELECT DISTINCT var_uri WHERE brack_open  <A> dbo_officialLanguage var_uri  brack_close
Which movies starring <A> were directed by <A>?,SELECT DISTINCT var_uri WHERE brack_open  var_uri rdf_type dbo_Film ; dbo_starring <A> ; dbo_director <A>  brack_close
